CISP;mes;vano;pol_militares_mortos_serv;pol_civis_mortos_serv
1;1;2003;0;0
4;1;2003;0;0
5;1;2003;0;0
6;1;2003;0;0
7;1;2003;0;0
9;1;2003;0;0
10;1;2003;0;0
12;1;2003;0;0
13;1;2003;0;0
14;1;2003;0;0
15;1;2003;0;0
16;1;2003;0;0
17;1;2003;0;0
18;1;2003;0;0
19;1;2003;0;0
20;1;2003;0;0
21;1;2003;1;1
22;1;2003;0;0
23;1;2003;0;0
24;1;2003;0;0
25;1;2003;0;0
26;1;2003;0;0
27;1;2003;0;0
28;1;2003;0;0
29;1;2003;0;0
30;1;2003;0;0
31;1;2003;0;0
32;1;2003;0;0
33;1;2003;0;0
34;1;2003;1;1
35;1;2003;0;0
36;1;2003;0;0
37;1;2003;0;0
38;1;2003;0;0
39;1;2003;1;0
40;1;2003;0;0
41;1;2003;0;0
44;1;2003;0;0
48;1;2003;0;0
50;1;2003;0;0
51;1;2003;0;0
52;1;2003;0;0
53;1;2003;0;0
54;1;2003;0;0
55;1;2003;0;0
56;1;2003;0;0
57;1;2003;0;0
58;1;2003;0;0
59;1;2003;0;0
60;1;2003;0;0
61;1;2003;0;0
62;1;2003;0;0
64;1;2003;0;0
65;1;2003;0;0
66;1;2003;0;0
71;1;2003;0;0
72;1;2003;0;0
73;1;2003;0;0
74;1;2003;0;0
75;1;2003;0;0
76;1;2003;0;0
77;1;2003;0;0
78;1;2003;0;0
79;1;2003;0;0
81;1;2003;0;0
82;1;2003;0;0
88;1;2003;0;0
89;1;2003;0;0
90;1;2003;0;0
91;1;2003;0;0
92;1;2003;0;0
93;1;2003;0;0
94;1;2003;0;0
95;1;2003;0;0
96;1;2003;0;0
97;1;2003;0;0
98;1;2003;0;0
99;1;2003;0;0
100;1;2003;0;0
104;1;2003;0;0
105;1;2003;0;0
106;1;2003;0;0
107;1;2003;0;0
108;1;2003;0;0
109;1;2003;0;0
110;1;2003;0;0
111;1;2003;0;0
112;1;2003;0;0
118;1;2003;0;0
119;1;2003;0;0
120;1;2003;0;0
121;1;2003;0;0
122;1;2003;0;0
123;1;2003;0;0
124;1;2003;0;0
125;1;2003;0;0
126;1;2003;0;0
127;1;2003;0;0
128;1;2003;0;0
129;1;2003;0;0
134;1;2003;0;0
135;1;2003;0;0
136;1;2003;0;0
137;1;2003;0;0
138;1;2003;0;0
139;1;2003;0;0
140;1;2003;0;0
141;1;2003;0;0
142;1;2003;0;0
143;1;2003;0;0
144;1;2003;0;0
145;1;2003;0;0
146;1;2003;0;0
151;1;2003;0;0
152;1;2003;0;0
153;1;2003;0;0
154;1;2003;0;0
155;1;2003;0;0
156;1;2003;0;0
157;1;2003;0;0
158;1;2003;0;0
159;1;2003;0;0
165;1;2003;0;0
166;1;2003;0;0
167;1;2003;0;0
168;1;2003;0;0
1;2;2003;0;0
4;2;2003;0;0
5;2;2003;0;0
6;2;2003;0;0
7;2;2003;0;0
9;2;2003;0;0
10;2;2003;0;0
12;2;2003;0;0
13;2;2003;0;0
14;2;2003;0;0
15;2;2003;0;0
16;2;2003;0;0
17;2;2003;0;0
18;2;2003;0;0
19;2;2003;0;0
20;2;2003;0;0
21;2;2003;0;0
22;2;2003;1;0
23;2;2003;0;0
24;2;2003;0;0
25;2;2003;0;0
26;2;2003;0;0
27;2;2003;0;0
28;2;2003;0;0
29;2;2003;0;0
30;2;2003;0;0
31;2;2003;0;0
32;2;2003;0;0
33;2;2003;0;0
34;2;2003;0;0
35;2;2003;0;0
36;2;2003;0;0
37;2;2003;0;0
38;2;2003;0;0
39;2;2003;0;0
40;2;2003;1;0
41;2;2003;0;0
44;2;2003;0;0
48;2;2003;0;0
50;2;2003;0;0
51;2;2003;0;0
52;2;2003;0;0
53;2;2003;0;0
54;2;2003;0;0
55;2;2003;0;0
56;2;2003;0;0
57;2;2003;0;0
58;2;2003;0;0
59;2;2003;0;0
60;2;2003;0;0
61;2;2003;0;0
62;2;2003;0;0
64;2;2003;0;0
65;2;2003;0;0
66;2;2003;0;0
71;2;2003;0;0
72;2;2003;0;0
73;2;2003;0;0
74;2;2003;0;0
75;2;2003;0;0
76;2;2003;0;0
77;2;2003;0;0
78;2;2003;0;0
79;2;2003;0;0
81;2;2003;0;0
82;2;2003;0;0
88;2;2003;0;0
89;2;2003;0;0
90;2;2003;0;0
91;2;2003;0;0
92;2;2003;0;0
93;2;2003;0;0
94;2;2003;0;0
95;2;2003;0;0
96;2;2003;0;0
97;2;2003;0;0
98;2;2003;0;0
99;2;2003;0;0
100;2;2003;0;0
104;2;2003;0;0
105;2;2003;0;0
106;2;2003;0;0
107;2;2003;0;0
108;2;2003;0;0
109;2;2003;0;0
110;2;2003;0;0
111;2;2003;0;0
112;2;2003;0;0
118;2;2003;0;0
119;2;2003;0;0
120;2;2003;0;0
121;2;2003;0;0
122;2;2003;0;0
123;2;2003;0;0
124;2;2003;0;0
125;2;2003;0;0
126;2;2003;0;0
127;2;2003;0;0
128;2;2003;0;0
129;2;2003;0;0
134;2;2003;0;0
135;2;2003;0;0
136;2;2003;0;0
137;2;2003;0;0
138;2;2003;0;0
139;2;2003;0;0
140;2;2003;0;0
141;2;2003;0;0
142;2;2003;0;0
143;2;2003;0;0
144;2;2003;0;0
145;2;2003;0;0
146;2;2003;0;0
151;2;2003;0;0
152;2;2003;0;0
153;2;2003;0;0
154;2;2003;0;0
155;2;2003;0;0
156;2;2003;0;0
157;2;2003;0;0
158;2;2003;0;0
159;2;2003;0;0
165;2;2003;0;0
166;2;2003;0;0
167;2;2003;0;0
168;2;2003;0;0
